clade	method	change_point_id	position	score	left_q1	left_q2	left_q3	right_q1	right_q2	right_q3	delta_q1	delta_q2	delta_q3	dominant_topology_left	dominant_topology_right	cluster_min_position	cluster_max_position	cluster_span_bp	n_raw_change_points	contributing_raw_change_point_ids
Columbea	rolling	Columbea_rolling_raw_001	17835000	0.28163798735	0.433346934275	0.19182466572	0.374828400005	0.282852438534	0.417649245958	0.299498315509	-0.150494495741	0.225824580238	-0.0753300844967	q1	q2					
Columbea	rolling	Columbea_rolling_raw_002	24255000	0.278826066889	0.414039192742	0.340273999647	0.245686807612	0.641227941344	0.213993326845	0.14477873181	0.227188748603	-0.126280672801	-0.100908075801	q1	q1					
Columbea	rolling	Columbea_rolling_raw_003	24685000	0.460126340455	0.403326204233	0.337611720819	0.259062074949	0.778719439714	0.136951166314	0.0843293939725	0.375393235481	-0.200660554505	-0.174732680976	q1	q1					
Columbea	rolling	Columbea_rolling_raw_004	24735000	0.522197374582	0.39332479605	0.347351784495	0.259323419455	0.818719439714	0.109662526626	0.0716180336605	0.425394643664	-0.237689257869	-0.187705385795	q1	q1					
Columbea	rolling	Columbea_rolling_raw_005	24795000	0.625116491507	0.379815624061	0.387134614512	0.233049761427	0.88005403635	0.0492289508148	0.070717012835	0.500238412289	-0.337905663698	-0.162332748592	q2	q1					
Columbea	rolling	Columbea_rolling_raw_006	25035000	0.732385211143	0.376754249226	0.36322025953	0.260025491244	0.971099787334	0.00895909630734	0.0199411163587	0.594345538108	-0.354261163223	-0.240084374886	q1	q1					
Columbea	rolling	Columbea_rolling_raw_007	32135000	0.626028733842	0.924752126067	0.0616280038894	0.0136198700437	0.413996071766	0.299622776342	0.286381151893	-0.510756054301	0.237994772452	0.272761281849	q1	q1					
Columbea	rolling	Columbea_rolling_raw_008	32195000	0.714831293769	0.932674831381	0.0576908058218	0.00963436279729	0.350246381965	0.316122180453	0.333631437582	-0.582428449416	0.258431374631	0.323997074785	q1	q1					
Columbea	rolling	Columbea_rolling_raw_009	32675000	0.691235577972	0.912674831381	0.0776908058218	0.00963436279729	0.350460435013	0.315908127405	0.333631437582	-0.562214396368	0.238217321583	0.323997074785	q1	q1					
Columbea	rolling	Columbea_rolling_raw_010	32725000	0.691235577972	0.912674831381	0.0776908058218	0.00963436279729	0.350460435013	0.315908127405	0.333631437582	-0.562214396368	0.238217321583	0.323997074785	q1	q1					
Columbea	rolling	Columbea_rolling_raw_011	32815000	0.473527773448	0.848510590641	0.0783836758048	0.0731057335537	0.461930320055	0.277245786353	0.260823893592	-0.386580270587	0.198862110548	0.187718160038	q1	q1					
Columbea	rolling	Columbea_rolling_raw_012	33465000	0.709222105132	0.350246381965	0.316122180453	0.333631437582	0.928848745276	0.0471305059881	0.0240207487359	0.578602363311	-0.268991674464	-0.309610688847	q1	q1					
Columbea	rolling	Columbea_rolling_raw_013	34505000	0.805597475788	0.937344364852	0.0374177669359	0.0252378682117	0.279929156079	0.34748190187	0.372588942051	-0.657415208773	0.310064134934	0.347351073839	q1	q3					
Columbea	rolling	Columbea_rolling_raw_014	34705000	0.715071382616	0.853598081759	0.0608325928214	0.0855693254197	0.270048195892	0.368907509594	0.361044294514	-0.583549885867	0.308074916772	0.275474969094	q1	q2					
Columbea	rolling	Columbea_rolling_raw_015	34905000	0.448138029627	0.667289358585	0.182841361962	0.149869279453	0.307608541641	0.304491313823	0.387900144536	-0.359680816945	0.121649951862	0.238030865083	q1	q3					
Columbea	rolling	Columbea_rolling_raw_016	34975000	0.416935199584	0.631710164025	0.199431526937	0.168858309038	0.298322486919	0.30648500255	0.395192510531	-0.333387677106	0.107053475612	0.226334201493	q1	q3					
Columbea	rolling	Columbea_rolling_raw_017	35005000	0.396021439208	0.594955792374	0.215651831476	0.189392376151	0.277541382502	0.320949678987	0.401508938511	-0.317414409872	0.105297847511	0.21211656236	q1	q3					
Columbea	rolling	Columbea_rolling_raw_018	35045000	0.328570387631	0.545906871343	0.221842464787	0.23225066387	0.278519378589	0.336636572195	0.384844049216	-0.267387492754	0.114794107408	0.152593385346	q1	q3					
Columbea	rolling	Columbea_rolling_raw_019	43615000	0.304911954337	0.320465123983	0.400052345462	0.279482530555	0.563475619586	0.231695478491	0.204828901923	0.243010495603	-0.168356866972	-0.0746536286311	q2	q1					
Columbea	rolling	Columbea_rolling_raw_020	43725000	0.521242730852	0.293143453802	0.425543078875	0.281313467323	0.714177880068	0.161225297371	0.12459682256	0.421034426267	-0.264317781504	-0.156716644763	q2	q1					
Columbea	rolling	Columbea_rolling_raw_021	43855000	0.618998037659	0.298687604708	0.413220079558	0.288092315734	0.800421879481	0.109662113259	0.0899160072608	0.501734274772	-0.3035579663	-0.198176308473	q2	q1					
Columbea	rolling	Columbea_rolling_raw_022	44015000	0.722651265937	0.321449190008	0.42103229512	0.257518514871	0.905795329721	0.0580276092131	0.0361770610659	0.584346139713	-0.363004685907	-0.221341453805	q2	q1					
Columbea	rolling	Columbea_rolling_raw_023	44045000	0.754728143969	0.331684805377	0.417048405238	0.251266789386	0.941403337729	0.0347955403021	0.0238011219689	0.609718532352	-0.382252864936	-0.227465667417	q2	q1					
Columbea	rolling	Columbea_rolling_raw_024	44135000	0.814818138841	0.323372264407	0.430240555172	0.24638718042	0.980555555556	0.0119444444444	0.0075	0.657183291148	-0.418296110728	-0.23888718042	q2	q1					
Columbea	rolling	Columbea_rolling_raw_025	48185000	0.351444098898	0.985476190476	0.0145238095238	0	0.698535132108	0.155736221795	0.145728646097	-0.286941058368	0.141212412272	0.145728646097	q1	q1					
Columbea	rolling	Columbea_rolling_raw_026	48205000	0.351444098898	0.985476190476	0.0145238095238	0	0.698535132108	0.155736221795	0.145728646097	-0.286941058368	0.141212412272	0.145728646097	q1	q1					
