transition_id	consensus_position	clades_supporting	n_clades	individual_positions	cluster_min_position	cluster_max_position	cluster_span_bp	n_unique_clades	nearest_primary_structural_breakpoint	distance_to_structure_bp
GT100_001	17835000	Columbea	1	Columbea:17835000	17835000	17835000	0	1	19760078	1925078
GT100_002	24290000	Columbea,N62	2	Columbea:24255000;N62:24325000	24255000	24325000	70000	2	25213019	923019
GT100_003	24395000	N61	1	N61:24395000	24395000	24395000	0	1	25213019	818019
GT100_004	24780000	Columbea,N62	2	N62:24765000;Columbea:24795000	24765000	24795000	30000	2	25213019	433019
GT100_005	25025000	Columbea,N61,N62	3	N61:25015000;N62:25025000;Columbea:25035000	25015000	25035000	20000	3	25213019	188019
GT100_006	25175000	N61	1	N61:25175000	25175000	25175000	0	1	25213019	38019
GT100_007	25365000	N61,N62	2	N62:25335000;N61:25395000	25335000	25395000	60000	2	25213019	151981
GT100_008	28665000	N61	1	N61:28665000	28665000	28665000	0	1	25559087	3105913
GT100_009	28945000	N61	1	N61:28945000	28945000	28945000	0	1	25559087	3385913
GT100_010	29725000	N61	1	N61:29725000	29725000	29725000	0	1	33234049	3509049
GT100_011	30165000	N61	1	N61:30165000	30165000	30165000	0	1	33234049	3069049
GT100_012	31985000	N61	1	N61:31985000	31985000	31985000	0	1	33234049	1249049
GT100_013	32180000	Columbea,N62	2	N62:32165000;Columbea:32195000	32165000	32195000	30000	2	33234049	1054049
GT100_014	32725000	Columbea,N61,N62	3	Columbea:32675000;N61:32725000;N62:32725000	32675000	32725000	50000	3	33234049	509049
GT100_015	33265000	N61	1	N61:33265000	33265000	33265000	0	1	33234049	30951
GT100_016	33515000	Columbea,N61,N62	3	Columbea:33465000;N61:33515000;N62:33565000	33465000	33565000	100000	3	33234049	280951
GT100_017	34515000	Columbea,N61,N62	3	Columbea:34505000;N62:34515000;N61:34535000	34505000	34535000	30000	3	34232794	282206
GT100_018	34765000	N61,N62	2	N61:34745000;N62:34785000	34745000	34785000	40000	2	35025837	260837
GT100_019	34935000	Columbea,N61	2	Columbea:34905000;N61:34965000	34905000	34965000	60000	2	35025837	90837
GT100_020	35410000	N61,N62	2	N62:35405000;N61:35415000	35405000	35415000	10000	2	35025837	384163
GT100_021	36575000	N61	1	N61:36575000	36575000	36575000	0	1	37255236	680236
GT100_022	37215000	N61	1	N61:37215000	37215000	37215000	0	1	37255236	40236
GT100_023	43700000	Columbea,N61	2	N61:43675000;Columbea:43725000	43675000	43725000	50000	2	44647530	947530
GT100_024	44135000	Columbea,N61,N62	3	Columbea:44135000;N61:44135000;N62:44135000	44135000	44135000	0	3	44647530	512530
GT100_025	44395000	N62	1	N62:44395000	44395000	44395000	0	1	44647530	252530
GT100_026	48300000	Columbea,N61	2	N61:48295000;Columbea:48305000	48295000	48305000	10000	2	49159743	859743
GT100_027	48495000	Columbea,N61,N62	3	Columbea:48485000;N61:48495000;N62:48565000	48485000	48565000	80000	3	49159743	664743
GT100_028	48625000	Columbea,N61	2	Columbea:48625000;N61:48625000	48625000	48625000	0	2	49159743	534743
GT100_029	49055000	Columbea	1	Columbea:49055000	49055000	49055000	0	1	49159743	104743
GT100_030	49325000	Columbea	1	Columbea:49325000	49325000	49325000	0	1	49159743	165257
GT100_031	49565000	Columbea	1	Columbea:49565000	49565000	49565000	0	1	49624080	59080
GT100_032	50005000	Columbea,N61	2	Columbea:50005000;N61:50005000	50005000	50005000	0	2	49624080	380920
GT100_033	56300000	Columbea,N62	2	Columbea:56275000;N62:56325000	56275000	56325000	50000	2	57203613	903613
GT100_034	56825000	Columbea,N61,N62	3	Columbea:56825000;N61:56825000;N62:56825000	56825000	56825000	0	3	57203613	378613
GT100_035	56935000	Columbea	1	Columbea:56935000	56935000	56935000	0	1	57203613	268613
GT100_036	57100000	N61,N62	2	N62:57075000;N61:57125000	57075000	57125000	50000	2	57203613	103613
GT100_037	61995000	N62	1	N62:61995000	61995000	61995000	0	1	61035423	959577
GT100_038	64965000	N62	1	N62:64965000	64965000	64965000	0	1	61035423	3929577
GT250_001	17835000	Columbea	1	Columbea:17835000	17835000	17835000	0	1	19760078	1925078
GT250_002	24325000	Columbea,N61,N62	3	Columbea:24255000;N62:24325000;N61:24395000	24255000	24395000	140000	3	25213019	888019
GT250_003	24795000	Columbea,N61,N62	3	N62:24765000;Columbea:24795000;N61:25015000	24765000	25015000	250000	3	25213019	418019
GT250_004	25035000	Columbea,N61,N62	3	N62:25025000;Columbea:25035000;N61:25175000	25025000	25175000	150000	3	25213019	178019
GT250_005	25365000	N61,N62	2	N62:25335000;N61:25395000	25335000	25395000	60000	2	25213019	151981
GT250_006	28665000	N61	1	N61:28665000	28665000	28665000	0	1	25559087	3105913
GT250_007	28945000	N61	1	N61:28945000	28945000	28945000	0	1	25559087	3385913
GT250_008	29725000	N61	1	N61:29725000	29725000	29725000	0	1	33234049	3509049
GT250_009	30165000	N61	1	N61:30165000	30165000	30165000	0	1	33234049	3069049
GT250_010	32165000	Columbea,N61,N62	3	N61:31985000;N62:32165000;Columbea:32195000	31985000	32195000	210000	3	33234049	1069049
GT250_011	32725000	Columbea,N61,N62	3	Columbea:32675000;N61:32725000;N62:32725000	32675000	32725000	50000	3	33234049	509049
GT250_012	33490000	Columbea,N61	2	Columbea:33465000;N61:33515000	33465000	33515000	50000	2	33234049	255951
GT250_013	33565000	N62	1	N62:33565000	33565000	33565000	0	1	33234049	330951
GT250_014	34515000	Columbea,N61,N62	3	Columbea:34505000;N62:34515000;N61:34535000	34505000	34535000	30000	3	34232794	282206
GT250_015	34905000	Columbea,N61,N62	3	N62:34785000;Columbea:34905000;N61:34965000	34785000	34965000	180000	3	35025837	120837
GT250_016	35410000	N61,N62	2	N62:35405000;N61:35415000	35405000	35415000	10000	2	35025837	384163
GT250_017	36575000	N61	1	N61:36575000	36575000	36575000	0	1	37255236	680236
GT250_018	37215000	N61	1	N61:37215000	37215000	37215000	0	1	37255236	40236
GT250_019	43700000	Columbea,N61	2	N61:43675000;Columbea:43725000	43675000	43725000	50000	2	44647530	947530
GT250_020	44135000	Columbea,N61,N62	3	Columbea:44135000;N61:44135000;N62:44135000	44135000	44135000	0	3	44647530	512530
GT250_021	44395000	N62	1	N62:44395000	44395000	44395000	0	1	44647530	252530
GT250_022	48490000	Columbea,N61	2	Columbea:48485000;N61:48495000	48485000	48495000	10000	2	49159743	669743
GT250_023	48625000	Columbea,N61,N62	3	N62:48565000;Columbea:48625000;N61:48625000	48565000	48625000	60000	3	49159743	534743
