structural_set	flank_window_bp	event_id	left_breakpoint_id	right_breakpoint_id	start	end	event_type	species_support	pairing_evidence	pairing_confidence
primary	250000	primary_W250000_EV011	DSB_002		1949860	1949860	single_boundary_event	Flamingo;Dove;Sandgrouse;Turaco;Cuckoo;Stork	no second frozen boundary met the paired-event evidence rule	single_boundary
primary	250000	primary_W250000_EV001	DSB_005	DSB_006	9504880	10974030	adjacency_change	Flamingo;Stork	adjacent frozen DSBs with same species supporting orientation/chromosome/order change at both boundaries	moderate
primary	250000	primary_W250000_EV002	DSB_013	DSB_014	19760078	25213019	adjacency_change	Sandgrouse;Turaco;Cuckoo	adjacent frozen DSBs with same species supporting orientation/chromosome/order change at both boundaries	high
primary	250000	primary_W250000_EV012	DSB_015		25559087	25559087	single_boundary_event	Flamingo;Dove;Sandgrouse;Turaco;Cuckoo;Stork	no second frozen boundary met the paired-event evidence rule	single_boundary
primary	250000	primary_W250000_EV013	DSB_016		33234049	33234049	single_boundary_event	Flamingo;Dove;Sandgrouse;Turaco;Cuckoo;Stork	no second frozen boundary met the paired-event evidence rule	single_boundary
primary	250000	primary_W250000_EV003	DSB_017	DSB_018	34021640	34232794	inversion_like	Dove;Turaco	adjacent frozen DSBs with same species supporting orientation/chromosome/order change at both boundaries	moderate
primary	250000	primary_W250000_EV004	DSB_020	DSB_022	35025837	37255236	translocation_like	Flamingo;Sandgrouse;Stork	adjacent frozen DSBs with same species supporting orientation/chromosome/order change at both boundaries	high
primary	250000	primary_W250000_EV005	DSB_023	DSB_024	39237022	42267292	inversion_like	Cuckoo;Stork	adjacent frozen DSBs with same species supporting orientation/chromosome/order change at both boundaries	moderate
primary	250000	primary_W250000_EV006	DSB_025	DSB_026	44647530	45658664	inversion_like	Flamingo;Dove;Stork	adjacent frozen DSBs with same species supporting orientation/chromosome/order change at both boundaries	high
primary	250000	primary_W250000_EV014	DSB_027		46422770	46422770	single_boundary_event	Flamingo;Dove;Sandgrouse;Turaco;Cuckoo;Stork	no second frozen boundary met the paired-event evidence rule	single_boundary
primary	250000	primary_W250000_EV007	DSB_028	DSB_030	47143089	49159743	adjacency_change	Cuckoo;Stork	adjacent frozen DSBs with same species supporting orientation/chromosome/order change at both boundaries	moderate
primary	250000	primary_W250000_EV015	DSB_031		49624080	49624080	single_boundary_event	Flamingo;Dove;Sandgrouse;Turaco;Cuckoo;Stork	no second frozen boundary met the paired-event evidence rule	single_boundary
primary	250000	primary_W250000_EV008	DSB_033	DSB_034	50410378	50989362	adjacency_change	Flamingo;Dove;Sandgrouse;Cuckoo;Stork	adjacent frozen DSBs with same species supporting orientation/chromosome/order change at both boundaries	high
primary	250000	primary_W250000_EV009	DSB_036	DSB_040	51789124	57203613	inversion_like	Sandgrouse;Cuckoo;Stork	adjacent frozen DSBs with same species supporting orientation/chromosome/order change at both boundaries	high
primary	250000	primary_W250000_EV010	DSB_041	DSB_042	58171516	59982754	adjacency_change	Flamingo;Cuckoo;Stork	adjacent frozen DSBs with same species supporting orientation/chromosome/order change at both boundaries	high
primary	250000	primary_W250000_EV016	DSB_043		61035423	61035423	single_boundary_event	Flamingo;Dove;Sandgrouse;Turaco;Cuckoo;Stork	no second frozen boundary met the paired-event evidence rule	single_boundary
