canonical_region_id	species1	species2	informative_shared_anchors	order_concordance	orientation_concordance	missing_fraction	overall_similarity	equivalent_arrangement	equivalence_reason
CR_01	Stork	Flamingo	74	0.998519067012	0.0135135135135	0.038961038961	0.506016290263	false	discordant_order_or_orientation
CR_01	Stork	Dove	69	0.00170502983802	1	0.103896103896	0.500852514919	false	discordant_order_or_orientation
CR_01	Stork	Sandgrouse	71	0.998792756539	1	0.0649350649351	0.99939637827	false	discordant_order_or_orientation
CR_01	Stork	Turaco	74	0.00148093298778	1	0.025974025974	0.500740466494	false	discordant_order_or_orientation
CR_01	Stork	Cuckoo	69	0.998294970162	0	0.0909090909091	0.499147485081	false	discordant_order_or_orientation
CR_01	Flamingo	Dove	69	0.00341005967604	0	0.103896103896	0.00170502983802	false	discordant_order_or_orientation
CR_01	Flamingo	Sandgrouse	71	0.997183098592	0.0140845070423	0.0649350649351	0.505633802817	false	discordant_order_or_orientation
CR_01	Flamingo	Turaco	73	0.00304414003044	0.013698630137	0.038961038961	0.00837138508371	false	discordant_order_or_orientation
CR_01	Flamingo	Cuckoo	69	0.996589940324	1	0.0909090909091	0.998294970162	false	discordant_order_or_orientation
CR_01	Dove	Sandgrouse	66	0.0004662004662	1	0.103896103896	0.500233100233	false	discordant_order_or_orientation
CR_01	Dove	Turaco	68	1	1	0.103896103896	1	true	exact_multi_anchor_order_orientation_match
CR_01	Dove	Cuckoo	65	0.000961538461538	0	0.103896103896	0.000480769230769	false	discordant_order_or_orientation
CR_01	Sandgrouse	Turaco	71	0.000402414486922	1	0.0649350649351	0.500201207243	false	discordant_order_or_orientation
CR_01	Sandgrouse	Cuckoo	66	0.999533799534	0	0.0909090909091	0.499766899767	false	discordant_order_or_orientation
CR_01	Turaco	Cuckoo	69	0.000852514919011	0	0.0909090909091	0.000426257459506	false	discordant_order_or_orientation
CR_02	Stork	Flamingo	4			0		false	insufficient_information
CR_02	Stork	Dove	4			0		false	insufficient_information
CR_02	Stork	Sandgrouse	4			0		false	insufficient_information
