species	breakpoint_id	reference_position	left_run_id	right_run_id	left_query_chrom	right_query_chrom	left_relative_orientation	right_relative_orientation	chromosome_switch	orientation_switch	order_reversal	query_jump_bp	gap_discrepancy	persistent_regime_change	left_support_bp	right_support_bp	left_support_blocks	right_support_blocks	score_chromosome_switch	score_orientation_switch	score_order_reversal	score_query_jump	score_gap_discrepancy	breakpoint_score	threshold	threshold_setting	robustness	evidence	contributing_raw_calls	n_contributing_raw_calls
Stork	Stork_lenient_raw_0001	1938936	STO_R0005	STO_R0006	CM030203.1	CM030203.1	-	+	0	1	1	12807017	12688241	1	1310798	5749252	45	255	0	3	3	3	2	11	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Stork	Stork_lenient_raw_0002	9502558	STO_R0009	STO_R0010	CM030203.1	CM030203.1	+	+	0	0	1	21874828	21874632	1	1615350	9052147	73	441	0	0	3	3	2	8	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Stork	Stork_lenient_raw_0003	10956521	STO_R0011	STO_R0012	CM030203.1	CM030203.1	+	+	0	0	1	11759221	11751117	1	3064465	7603032	153	361	0	0	3	3	2	8	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Stork	Stork_lenient_raw_0004	19759888	STO_R0018	STO_R0019	CM030203.1	CM030196.1	-	-	1	0	0			1	200874	1377513	9	43	5	0	0	0	0	5	14.7581018109	lenient		chromosome_switch		
Stork	Stork_lenient_raw_0005	25213032	STO_R0021	STO_R0022	CM030196.1	CM030196.1	-	+	0	1	1	3550	13765	1	3877043	331589	166	13	0	3	3	0.00293254889425	0.0324690910547	6.03540163995	14.7581018109	lenient		orientation_switch,order_reversal		
Stork	Stork_lenient_raw_0006	25556601	STO_R0022	STO_R0023	CM030196.1	CM030196.1	+	-	0	1	1	31065339	31058693	1	331589	896049	13	38	0	3	3	3	2	11	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
Stork	Stork_lenient_raw_0007	34021642	STO_R0028	STO_R0029	CM030196.1	CM030196.1	-	-	0	0	1	32446706	32387512	1	5870787	527941	289	9	0	0	3	3	2	8	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Stork	Stork_lenient_raw_0008	34232832	STO_R0030	STO_R0031	CM030196.1	CM030196.1	-	-	0	0	1	15421817	15410696	1	6043486	355242	291	7	0	0	3	3	2	8	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Stork	Stork_lenient_raw_0009	35025836	STO_R0034	STO_R0035	CM030196.1	CM030196.1	+	+	0	0	1	31455789	31454522	1	270094	2229559	4	87	0	0	3	3	2	8	14.7581018109	lenient		order_reversal,large_query_jump,gap_discrepancy		
Stork	Stork_lenient_raw_0010	37261197	STO_R0035	STO_R0036	CM030196.1	CM030196.1	+	-	0	1	1	4111059	4100723	1	2499653	1869588	91	101	0	3	3	3	2	11	14.7581018109	lenient		orientation_switch,order_reversal,large_query_jump,gap_discrepancy		
