consensus_breakpoint_id	reference_position	n_species_support	confidence_class	in_primary	in_stringent	in_inclusive
DSB_001	1582350	1	species_specific	0	0	1
DSB_002	1949860	5	strong_consensus	1	1	1
DSB_003	5161408	1	species_specific	0	0	1
DSB_004	8704428	1	species_specific	0	0	1
DSB_005	9504880	5	strong_consensus	1	1	1
DSB_006	10974030	5	strong_consensus	1	1	1
DSB_007	11304692	1	species_specific	0	0	1
DSB_008	12214254	1	species_specific	0	0	1
DSB_009	12886511	1	species_specific	0	0	1
DSB_010	14318518	1	species_specific	0	0	1
DSB_011	16491814	1	species_specific	0	0	1
DSB_012	18036264	1	species_specific	0	0	1
DSB_013	19760078	6	strong_consensus	1	1	1
DSB_014	25213019	6	strong_consensus	1	1	1
DSB_015	25559087	6	strong_consensus	1	1	1
DSB_016	33234049	2	moderate_consensus	1	0	1
DSB_017	34021640	4	strong_consensus	1	1	1
DSB_018	34232794	3	moderate_consensus	1	0	1
DSB_019	34741919	1	species_specific	0	0	1
DSB_020	35025837	4	strong_consensus	1	1	1
DSB_021	35331645	1	species_specific	0	0	1
DSB_022	37255236	4	strong_consensus	1	1	1
DSB_023	39237022	6	strong_consensus	1	1	1
DSB_024	42267292	2	moderate_consensus	1	0	1
DSB_025	44647530	5	strong_consensus	1	1	1
DSB_026	45658664	6	strong_consensus	1	1	1
DSB_027	46422770	5	strong_consensus	1	1	1
DSB_028	47143089	3	moderate_consensus	1	0	1
DSB_029	47228924	1	species_specific	0	0	1
DSB_030	49159743	2	moderate_consensus	1	0	1
DSB_031	49624080	6	strong_consensus	1	1	1
DSB_032	50085260	1	species_specific	0	0	1
DSB_033	50410378	3	moderate_consensus	1	0	1
DSB_034	50989362	6	strong_consensus	1	1	1
DSB_035	51570722	1	species_specific	0	0	1
DSB_036	51789124	3	moderate_consensus	1	0	1
DSB_037	55393543	1	species_specific	0	0	1
DSB_038	55750019	1	species_specific	0	0	1
DSB_039	56712451	1	species_specific	0	0	1
DSB_040	57203613	2	moderate_consensus	1	0	1
DSB_041	58171516	5	strong_consensus	1	1	1
DSB_042	59982754	3	moderate_consensus	1	0	1
DSB_043	61035423	3	moderate_consensus	1	0	1
