clade	role	taxonomic_group	structural_species	structural_taxa	n_structural_representatives	includes_chicken_reference	chicken_taxonomic_group	source_file	source_definition	mapping_status	topology_order
Columbea	C1	Columbimorphae	Dove;Sandgrouse	Columba_livia;Pterocles_gutturalis	2	false		genetreesupport/clade-analysis/examined-clades.zip;genetreesupport/clade-analysis/newannotation.txt	Columbimorphae.txt	resolved	q1=(C1,C2)|(S,O); q2=(C1,S)|(C2,O); q3=(C2,S)|(C1,O)
Columbea	C2	Phoenicopteriformes	Flamingo	Phoenicopterus_ruber	1	false		genetreesupport/clade-analysis/examined-clades.zip;genetreesupport/clade-analysis/newannotation.txt	Phoenicopteriformes.txt	resolved	q1=(C1,C2)|(S,O); q2=(C1,S)|(C2,O); q3=(C2,S)|(C1,O)
Columbea	S	Passera	Turaco;Cuckoo;Stork	Tauraco_erythrolophus;Cuculus_canorus;Ciconia_maguari	3	false		genetreesupport/clade-analysis/examined-clades.zip;genetreesupport/clade-analysis/newannotation.txt	Passera.txt	resolved	q1=(C1,C2)|(S,O); q2=(C1,S)|(C2,O); q3=(C2,S)|(C1,O)
Columbea	O	implicit_outgroup	Chicken	Gallus_gallus	1	true	Galliformes	genetreesupport/clade-analysis/examined-clades.zip;genetreesupport/clade-analysis/newannotation.txt	all newannotation taxa not in C1/C2/S	resolved	q1=(C1,C2)|(S,O); q2=(C1,S)|(C2,O); q3=(C2,S)|(C1,O)
N61	C1	Otidimorphae	Turaco;Cuckoo	Tauraco_erythrolophus;Cuculus_canorus	2	false		genetreesupport/clade-analysis/examined-clades.zip;genetreesupport/clade-analysis/newannotation.txt	Otidimorphae.txt	resolved	q1=(C1,C2)|(S,O); q2=(C1,S)|(C2,O); q3=(C2,S)|(C1,O)
N61	C2	Columbimorphae	Dove;Sandgrouse	Columba_livia;Pterocles_gutturalis	2	false		genetreesupport/clade-analysis/examined-clades.zip;genetreesupport/clade-analysis/newannotation.txt	Columbimorphae.txt	resolved	q1=(C1,C2)|(S,O); q2=(C1,S)|(C2,O); q3=(C2,S)|(C1,O)
N61	S	ElementavesTelluraves	Stork	Ciconia_maguari	1	false		genetreesupport/clade-analysis/examined-clades.zip;genetreesupport/clade-analysis/newannotation.txt	ElementavesTelluraves.txt	resolved	q1=(C1,C2)|(S,O); q2=(C1,S)|(C2,O); q3=(C2,S)|(C1,O)
N61	O	implicit_outgroup	Flamingo;Chicken	Phoenicopterus_ruber;Gallus_gallus	2	true	Galliformes	genetreesupport/clade-analysis/examined-clades.zip;genetreesupport/clade-analysis/newannotation.txt	all newannotation taxa not in C1/C2/S	resolved	q1=(C1,C2)|(S,O); q2=(C1,S)|(C2,O); q3=(C2,S)|(C1,O)
N62	C1	Columbiformes	Dove	Columba_livia	1	false		genetreesupport/clade-analysis/examined-clades.zip;genetreesupport/clade-analysis/newannotation.txt	Columbiformes.txt	resolved	q1=(C1,C2)|(S,O); q2=(C1,S)|(C2,O); q3=(C2,S)|(C1,O)
N62	C2	OtherColumbimorphae	Sandgrouse	Pterocles_gutturalis	1	false		genetreesupport/clade-analysis/examined-clades.zip;genetreesupport/clade-analysis/newannotation.txt	OtherColumbimorphae.txt	resolved	q1=(C1,C2)|(S,O); q2=(C1,S)|(C2,O); q3=(C2,S)|(C1,O)
N62	S	Otidimorphae	Turaco;Cuckoo	Tauraco_erythrolophus;Cuculus_canorus	2	false		genetreesupport/clade-analysis/examined-clades.zip;genetreesupport/clade-analysis/newannotation.txt	Otidimorphae.txt	resolved	q1=(C1,C2)|(S,O); q2=(C1,S)|(C2,O); q3=(C2,S)|(C1,O)
N62	O	implicit_outgroup	Flamingo;Stork;Chicken	Phoenicopterus_ruber;Ciconia_maguari;Gallus_gallus	3	true	Galliformes	genetreesupport/clade-analysis/examined-clades.zip;genetreesupport/clade-analysis/newannotation.txt	all newannotation taxa not in C1/C2/S	resolved	q1=(C1,C2)|(S,O); q2=(C1,S)|(C2,O); q3=(C2,S)|(C1,O)
