species	structural_interval_id	normalized_arrangement_state	anchor_order_signature	anchor_orientation_signature	n_shared_anchors	missing_anchor_fraction	ambiguous_anchor_fraction	raw_state_label	equivalence_reason
Stork	SI_Stork_01	A0	1:Q1:1	1:+	1	0	0	A1	exact observed shared-anchor order/orientation compatibility; missing anchors ignored; ambiguous anchors not used for grouping
Flamingo	SI_Stork_01	A1	1:X	1:!	1	0	1	SI_Flamingo_01:A0	exact observed shared-anchor order/orientation compatibility; missing anchors ignored; ambiguous anchors not used for grouping
Dove	SI_Stork_01	A0	1:Q1:1	1:+	1	0	0	SI_Dove_01:A2	exact observed shared-anchor order/orientation compatibility; missing anchors ignored; ambiguous anchors not used for grouping
Sandgrouse	SI_Stork_01	A0	1:Q1:1	1:+	1	0	0	SI_Sandgrouse_01:A4	exact observed shared-anchor order/orientation compatibility; missing anchors ignored; ambiguous anchors not used for grouping
Turaco	SI_Stork_01	A0	1:Q1:1	1:+	1	0	0	SI_Turaco_01:A5	exact observed shared-anchor order/orientation compatibility; missing anchors ignored; ambiguous anchors not used for grouping
Cuckoo	SI_Stork_01	A2	1:X	1:!	1	0	1	SI_Cuckoo_01:A3	exact observed shared-anchor order/orientation compatibility; missing anchors ignored; ambiguous anchors not used for grouping
Stork	SI_Stork_02	A0	1:Q1:1	1:+	1	0	0	A9	exact observed shared-anchor order/orientation compatibility; missing anchors ignored; ambiguous anchors not used for grouping
Flamingo	SI_Stork_02	A1	1:Q1:1	1:-	1	0	0	SI_Flamingo_02:A8	exact observed shared-anchor order/orientation compatibility; missing anchors ignored; ambiguous anchors not used for grouping
Dove	SI_Stork_02	A0	1:Q1:1	1:+	1	0	0	SI_Dove_02:A7	exact observed shared-anchor order/orientation compatibility; missing anchors ignored; ambiguous anchors not used for grouping
Sandgrouse	SI_Stork_02	A0	1:Q1:1	1:+	1	0	0	SI_Sandgrouse_02:A11	exact observed shared-anchor order/orientation compatibility; missing anchors ignored; ambiguous anchors not used for grouping
Turaco	SI_Stork_02	A0	1:Q1:1	1:+	1	0	0	SI_Turaco_02:A6	exact observed shared-anchor order/orientation compatibility; missing anchors ignored; ambiguous anchors not used for grouping
Cuckoo	SI_Stork_02	A1	1:Q1:1	1:-	1	0	0	SI_Cuckoo_02:A10	exact observed shared-anchor order/orientation compatibility; missing anchors ignored; ambiguous anchors not used for grouping
Stork	SI_Stork_03	A0	1:Q1:1	1:+	1	0	0	A13	exact observed shared-anchor order/orientation compatibility; missing anchors ignored; ambiguous anchors not used for grouping
Flamingo	SI_Stork_03	A1	1:X	1:!	1	0	1	SI_Flamingo_03:A12	exact observed shared-anchor order/orientation compatibility; missing anchors ignored; ambiguous anchors not used for grouping
Dove	SI_Stork_03	A2	1:X	1:!	1	0	1	SI_Dove_03:A16;SI_Dove_04:A17	exact observed shared-anchor order/orientation compatibility; missing anchors ignored; ambiguous anchors not used for grouping
Sandgrouse	SI_Stork_03	A0	1:Q1:1	1:+	1	0	0	SI_Sandgrouse_03:A14	exact observed shared-anchor order/orientation compatibility; missing anchors ignored; ambiguous anchors not used for grouping
Turaco	SI_Stork_03	A0	1:Q1:1	1:+	1	0	0	SI_Turaco_03:A16	exact observed shared-anchor order/orientation compatibility; missing anchors ignored; ambiguous anchors not used for grouping
Cuckoo	SI_Stork_03	A3	1:X	1:!	1	0	1	SI_Cuckoo_03:A15	exact observed shared-anchor order/orientation compatibility; missing anchors ignored; ambiguous anchors not used for grouping
Stork	SI_Stork_04	A0	1:Q1:3|2:M|3:M|4:Q1:2|5:Q1:1	1:+|2:?|3:?|4:+|5:+	5	0.4	0	A22	exact observed shared-anchor order/orientation compatibility; missing anchors ignored; ambiguous anchors not used for grouping
Flamingo	SI_Stork_04	A1	1:Q1:2|2:M|3:Q1:4|4:Q1:3|5:Q1:1	1:+|2:?|3:-|4:-|5:-	5	0.2	0	SI_Flamingo_04:A19;SI_Flamingo_05:A29;SI_Flamingo_06:A34	exact observed shared-anchor order/orientation compatibility; missing anchors ignored; ambiguous anchors not used for grouping
Dove	SI_Stork_04	A2	1:M|2:M|3:Q1:1|4:Q1:2|5:Q1:3	1:?|2:?|3:+|4:+|5:+	5	0.4	0	SI_Dove_05:A21;SI_Dove_06:A32;SI_Dove_07:A33	exact observed shared-anchor order/orientation compatibility; missing anchors ignored; ambiguous anchors not used for grouping
Sandgrouse	SI_Stork_04	A3	1:Q1:3|2:M|3:Q1:2|4:Q1:1|5:Q2:1	1:+|2:?|3:+|4:+|5:-	5	0.2	0	SI_Sandgrouse_04:A20;SI_Sandgrouse_05:A26;SI_Sandgrouse_06:A31;SI_Sandgrouse_07:A35	exact observed shared-anchor order/orientation compatibility; missing anchors ignored; ambiguous anchors not used for grouping
