event_id	clade	event_start	event_end	analysis_start	analysis_end	breakpoint_neighborhood	structural_classification	pairing_confidence	species_support	species_topology	competing_topology	n_windows	local_species_topology_count	local_species_topology_frequency	local_competing_topology_count	local_competing_topology_frequency	mean_support_q1	mean_support_q2	mean_support_q3	dominant_topology	topology_margin_species_vs_competing
primary_W250000_EV011	Columbea	1949860	1949860	1699860	2199860	single breakpoint +/-250 kb	single_boundary_event	single_boundary	Flamingo;Dove;Sandgrouse;Turaco;Cuckoo;Stork	q1	q2	19	6	0.315789473684	5	0.263157894737	0.313045151712	0.330779818755	0.356175029533	q3	0.0526315789474
primary_W250000_EV011	N61	1949860	1949860	1699860	2199860	single breakpoint +/-250 kb	single_boundary_event	single_boundary	Flamingo;Dove;Sandgrouse;Turaco;Cuckoo;Stork	q1	q2	19	7	0.368421052632	8	0.421052631579	0.302827326825	0.360483293823	0.336689379351	q2	-0.0526315789474
primary_W250000_EV011	N62	1949860	1949860	1699860	2199860	single breakpoint +/-250 kb	single_boundary_event	single_boundary	Flamingo;Dove;Sandgrouse;Turaco;Cuckoo;Stork	q1	q2	15	2	0.133333333333	9	0.6	0.25797478555	0.488957457198	0.253067757252	q2	-0.466666666667
primary_W250000_EV001	Columbea	9504880	10974030	9504880	10974030	frozen paired-event interval	adjacency_change	moderate	Flamingo;Stork	q1	q2	123	30	0.243902439024	49	0.39837398374	0.297241755479	0.368203215953	0.334555028568	q2	-0.154471544715
primary_W250000_EV001	N61	9504880	10974030	9504880	10974030	frozen paired-event interval	adjacency_change	moderate	Flamingo;Stork	q1	q2	123	36	0.292682926829	44	0.357723577236	0.30125948929	0.346589905379	0.352150605331	q2	-0.0650406504065
primary_W250000_EV001	N62	9504880	10974030	9504880	10974030	frozen paired-event interval	adjacency_change	moderate	Flamingo;Stork	q1	q2	118	37	0.313559322034	41	0.347457627119	0.332167336378	0.337856257778	0.329976405844	q2	-0.0338983050847
primary_W250000_EV002	Columbea	19760078	25213019	19760078	25213019	frozen paired-event interval	adjacency_change	high	Sandgrouse;Turaco;Cuckoo	q1	q2	317	141	0.444794952681	86	0.271293375394	0.409697337187	0.315806794337	0.274495868476	q1	0.173501577287
primary_W250000_EV002	N61	19760078	25213019	19760078	25213019	frozen paired-event interval	adjacency_change	high	Sandgrouse;Turaco;Cuckoo	q1	q2	318	111	0.349056603774	120	0.377358490566	0.330374539492	0.375279074831	0.294346385677	q2	-0.0283018867925
primary_W250000_EV002	N62	19760078	25213019	19760078	25213019	frozen paired-event interval	adjacency_change	high	Sandgrouse;Turaco;Cuckoo	q1	q2	307	117	0.381107491857	99	0.322475570033	0.382378781801	0.321243185941	0.296378032258	q1	0.0586319218241
primary_W250000_EV012	Columbea	25559087	25559087	25309087	25809087	single breakpoint +/-250 kb	single_boundary_event	single_boundary	Flamingo;Dove;Sandgrouse;Turaco;Cuckoo;Stork	q1	q2	43	39	0.906976744186	3	0.0697674418605	0.910887397465	0.0581828902416	0.0309297122938	q1	0.837209302326
primary_W250000_EV012	N61	25559087	25559087	25309087	25809087	single breakpoint +/-250 kb	single_boundary_event	single_boundary	Flamingo;Dove;Sandgrouse;Turaco;Cuckoo;Stork	q1	q2	44	2	0.0454545454545	42	0.954545454545	0.0310830226764	0.958077383791	0.010839593533	q2	-0.909090909091
primary_W250000_EV012	N62	25559087	25559087	25309087	25809087	single breakpoint +/-250 kb	single_boundary_event	single_boundary	Flamingo;Dove;Sandgrouse;Turaco;Cuckoo;Stork	q1	q2	42	42	1	0	0	0.96972651557	0.0136212186435	0.0166522657869	q1	1
primary_W250000_EV013	Columbea	33234049	33234049	32984049	33484049	single breakpoint +/-250 kb	single_boundary_event	single_boundary	Flamingo;Dove;Sandgrouse;Turaco;Cuckoo;Stork	q1	q2	30	8	0.266666666667	11	0.366666666667	0.285402433992	0.38860324876	0.325994317248	q3	-0.1
primary_W250000_EV013	N61	33234049	33234049	32984049	33484049	single breakpoint +/-250 kb	single_boundary_event	single_boundary	Flamingo;Dove;Sandgrouse;Turaco;Cuckoo;Stork	q1	q2	32	10	0.3125	13	0.40625	0.31692457755	0.328910407967	0.354165014482	q2	-0.09375
primary_W250000_EV013	N62	33234049	33234049	32984049	33484049	single breakpoint +/-250 kb	single_boundary_event	single_boundary	Flamingo;Dove;Sandgrouse;Turaco;Cuckoo;Stork	q1	q2	32	6	0.1875	9	0.28125	0.246158216768	0.306933336688	0.446908446544	q3	-0.09375
primary_W250000_EV003	Columbea	34021640	34232794	34021640	34232794	frozen paired-event interval	inversion_like	moderate	Dove;Turaco	q1	q2	9	8	0.888888888889	1	0.111111111111	0.931553552794	0.0629859429457	0.00546050426071	q1	0.777777777778
primary_W250000_EV003	N61	34021640	34232794	34021640	34232794	frozen paired-event interval	inversion_like	moderate	Dove;Turaco	q1	q2	9	1	0.111111111111	8	0.888888888889	0.164153015195	0.812179745241	0.0236672395639	q2	-0.777777777778
primary_W250000_EV003	N62	34021640	34232794	34021640	34232794	frozen paired-event interval	inversion_like	moderate	Dove;Turaco	q1	q2	8	8	1	0	0	0.891236257403	0.0646773692812	0.0440863733164	q1	1
primary_W250000_EV004	Columbea	35025837	37255236	35025837	37255236	frozen paired-event interval	translocation_like	high	Flamingo;Sandgrouse;Stork	q1	q2	139	50	0.359712230216	46	0.330935251799	0.335357812765	0.354652970276	0.309989216959	q1	0.0287769784173
primary_W250000_EV004	N61	35025837	37255236	35025837	37255236	frozen paired-event interval	translocation_like	high	Flamingo;Sandgrouse;Stork	q1	q2	140	46	0.328571428571	49	0.35	0.329753819574	0.366345221846	0.303900958579	q2	-0.0214285714286
primary_W250000_EV004	N62	35025837	37255236	35025837	37255236	frozen paired-event interval	translocation_like	high	Flamingo;Sandgrouse;Stork	q1	q2	124	44	0.354838709677	39	0.314516129032	0.36841644388	0.318831769743	0.312751786377	q1	0.0403225806452
primary_W250000_EV005	Columbea	39237022	42267292	39237022	42267292	frozen paired-event interval	inversion_like	moderate	Cuckoo;Stork	q1	q2	255	96	0.376470588235	77	0.301960784314	0.344268337974	0.336682109809	0.319049552217	q1	0.0745098039216
primary_W250000_EV005	N61	39237022	42267292	39237022	42267292	frozen paired-event interval	inversion_like	moderate	Cuckoo;Stork	q1	q2	257	96	0.373540856031	79	0.307392996109	0.37164410837	0.321167632261	0.307188259369	q1	0.0661478599222
primary_W250000_EV005	N62	39237022	42267292	39237022	42267292	frozen paired-event interval	inversion_like	moderate	Cuckoo;Stork	q1	q2	250	92	0.368	76	0.304	0.391203607676	0.296619685766	0.312176706558	q1	0.064
primary_W250000_EV006	Columbea	44647530	45658664	44647530	45658664	frozen paired-event interval	inversion_like	high	Flamingo;Dove;Stork	q1	q2	48	47	0.979166666667	0	0	0.967476692356	0.0112433862434	0.0212799214005	q1	0.979166666667
