clade	event_id_removed	treatment	q1	q2	q3	M_species	M_q1_q2	dominant_topology
Columbea	primary_W250000_EV011	T2	0.463956333522	0.270468661773	0.265575004705	0.193487671749	0.193487671749	q1
Columbea	primary_W250000_EV011	T3	0.476553598037	0.264615654308	0.258830747655	0.211937943729	0.211937943729	q1
N61	primary_W250000_EV011	T2	0.299476243921	0.428170594837	0.272353161242	-0.128694350917	-0.128694350917	q2
N61	primary_W250000_EV011	T3	0.293256664924	0.441888830807	0.264854504269	-0.148632165883	-0.148632165883	q2
N62	primary_W250000_EV011	T2	0.431570762053	0.293934681182	0.274494556765	0.137636080871	0.137636080871	q1
N62	primary_W250000_EV011	T3	0.443718820862	0.288344671202	0.267936507937	0.15537414966	0.15537414966	q1
Columbea	primary_W250000_EV001	T2	0.461538461538	0.272031366692	0.26643017177	0.189507094847	0.189507094847	q1
Columbea	primary_W250000_EV001	T3	0.475375480265	0.265368494586	0.259256025148	0.210006985679	0.210006985679	q1
N61	primary_W250000_EV001	T2	0.300185528757	0.427643784787	0.272170686456	-0.12745825603	-0.12745825603	q2
N61	primary_W250000_EV001	T3	0.293612220101	0.441590001736	0.264797778164	-0.147977781635	-0.147977781635	q2
N62	primary_W250000_EV001	T2	0.429811029695	0.294639413806	0.275549556498	0.135171615889	0.135171615889	q1
N62	primary_W250000_EV001	T3	0.442848106985	0.288696123611	0.268455769405	0.154151983374	0.154151983374	q1
Columbea	primary_W250000_EV002	T2	0.466878148908	0.269266654227	0.263855196865	0.197611494682	0.197611494682	q1
Columbea	primary_W250000_EV002	T3	0.477869925797	0.264076822348	0.258053251855	0.213793103448	0.213793103448	q1
N61	primary_W250000_EV002	T2	0.29821958457	0.430637982196	0.271142433234	-0.132418397626	-0.132418397626	q2
N61	primary_W250000_EV002	T3	0.292693509198	0.442988545644	0.264317945158	-0.150295036446	-0.150295036446	q2
N62	primary_W250000_EV002	T2	0.43443096476	0.291931446178	0.273637589062	0.142499518583	0.142499518583	q1
N62	primary_W250000_EV002	T3	0.445006321113	0.287430016254	0.267563662633	0.157576304858	0.157576304858	q1
Columbea	primary_W250000_EV012	T2	0.46675432006	0.269534184823	0.263711495116	0.197220135237	0.197220135237	q1
Columbea	primary_W250000_EV012	T3	0.477845884413	0.264185639229	0.257968476357	0.213660245184	0.213660245184	q1
N61	primary_W250000_EV012	T2	0.297685703621	0.431317655842	0.270996640538	-0.133631952221	-0.133631952221	q2
N61	primary_W250000_EV012	T3	0.292428198433	0.443342036554	0.264229765013	-0.15091383812	-0.15091383812	q2
N62	primary_W250000_EV012	T2	0.435743361116	0.291335530142	0.272921108742	0.144407830975	0.144407830975	q1
N62	primary_W250000_EV012	T3	0.445652173913	0.287137681159	0.267210144928	0.158514492754	0.158514492754	q1
Columbea	primary_W250000_EV013	T2	0.463373403456	0.271036814425	0.265589782119	0.192336589031	0.192336589031	q1
Columbea	primary_W250000_EV013	T3	0.476269702277	0.264886164623	0.2588441331	0.211383537653	0.211383537653	q1
N61	primary_W250000_EV013	T2	0.299309572681	0.428064937488	0.27262548983	-0.128755364807	-0.128755364807	q2
N61	primary_W250000_EV013	T3	0.29318597163	0.441824036202	0.264989992168	-0.148638064572	-0.148638064572	q2
N62	primary_W250000_EV013	T2	0.430924239488	0.292966479364	0.276109281147	0.137957760124	0.137957760124	q1
N62	primary_W250000_EV013	T3	0.443397935157	0.287900742619	0.268701322224	0.155497192538	0.155497192538	q1
Columbea	primary_W250000_EV003	T2	0.46801725755	0.268805102232	0.263177640218	0.199212155318	0.199212155318	q1
Columbea	primary_W250000_EV003	T3	0.478428283889	0.263848779207	0.257722936904	0.214579504682	0.214579504682	q1
N61	primary_W250000_EV003	T2	0.297352721849	0.431767337808	0.270879940343	-0.134414615958	-0.134414615958	q2
N61	primary_W250000_EV003	T3	0.292275574113	0.443545581072	0.264178844816	-0.151270006959	-0.151270006959	q2
N62	primary_W250000_EV003	T2	0.436180515204	0.291109819872	0.272709664923	0.145070695332	0.145070695332	q1
N62	primary_W250000_EV003	T3	0.445852951829	0.287033683448	0.267113364723	0.158819268381	0.158819268381	q1
Columbea	primary_W250000_EV004	T2	0.46523364486	0.269906542056	0.264859813084	0.195327102804	0.195327102804	q1
Columbea	primary_W250000_EV004	T3	0.477109907391	0.264371832955	0.258518259654	0.212738074436	0.212738074436	q1
N61	primary_W250000_EV004	T2	0.300204347018	0.426713728404	0.273081924577	-0.126509381386	-0.126509381386	q2
N61	primary_W250000_EV004	T3	0.293617021277	0.441163699522	0.265219279201	-0.147546678246	-0.147546678246	q2
N62	primary_W250000_EV004	T2	0.432046332046	0.293629343629	0.274324324324	0.138416988417	0.138416988417	q1
N62	primary_W250000_EV004	T3	0.443901998011	0.288219871621	0.267878130368	0.15568212639	0.15568212639	q1
Columbea	primary_W250000_EV005	T2	0.462211466865	0.272710349963	0.265078183172	0.189501116902	0.189501116902	q1
Columbea	primary_W250000_EV005	T3	0.475671433554	0.26569584932	0.258632717126	0.209975584234	0.209975584234	q1
N61	primary_W250000_EV005	T2	0.299167437558	0.427012025902	0.27382053654	-0.127844588344	-0.127844588344	q2
N61	primary_W250000_EV005	T3	0.293143798214	0.441275894947	0.265580306839	-0.148132096732	-0.148132096732	q2
N62	primary_W250000_EV005	T2	0.430878677177	0.293020572967	0.276100749856	0.137858104211	0.137858104211	q1
N62	primary_W250000_EV005	T3	0.443331528605	0.287944414366	0.268724057029	0.155387114239	0.155387114239	q1
Columbea	primary_W250000_EV006	T2	0.470313666916	0.267363704257	0.262322628827	0.202949962659	0.202949962659	q1
Columbea	primary_W250000_EV006	T3	0.479479566888	0.263185469787	0.257334963325	0.216294097101	0.216294097101	q1
N61	primary_W250000_EV006	T2	0.295842613215	0.434669636229	0.269487750557	-0.138827023014	-0.138827023014	q2
N61	primary_W250000_EV006	T3	0.291579861111	0.444878472222	0.263541666667	-0.153298611111	-0.153298611111	q2
N62	primary_W250000_EV006	T2	0.439005588745	0.289651185199	0.271343226055	0.149354403546	0.149354403546	q1
N62	primary_W250000_EV006	T3	0.447154471545	0.286359530262	0.266485998193	0.160794941283	0.160794941283	q1
Columbea	primary_W250000_EV014	T2	0.46721773436	0.269209092617	0.263573173023	0.198008641743	0.198008641743	q1
Columbea	primary_W250000_EV014	T3	0.47806287766	0.264033628164	0.257903494176	0.214029249496	0.214029249496	q1
N61	primary_W250000_EV014	T2	0.29796375864	0.430786474874	0.271249766486	-0.132822716234	-0.132822716234	q2
N61	primary_W250000_EV014	T3	0.292555507183	0.443099695255	0.264344797562	-0.150544188071	-0.150544188071	q2
N62	primary_W250000_EV014	T2	0.434537684538	0.291958041958	0.273504273504	0.14257964258	0.14257964258	q1
N62	primary_W250000_EV014	T3	0.445099283707	0.287424063832	0.267476652462	0.157675219875	0.157675219875	q1
Columbea	primary_W250000_EV007	T2	0.469281045752	0.268347338936	0.262371615313	0.200933706816	0.200933706816	q1
Columbea	primary_W250000_EV007	T3	0.47899746747	0.263645096498	0.257357436032	0.215352370972	0.215352370972	q1
N61	primary_W250000_EV007	T2	0.296715531639	0.433290035257	0.269994433104	-0.136574503618	-0.136574503618	q2
N61	primary_W250000_EV007	T3	0.291988542661	0.444232271504	0.263779185835	-0.152243728843	-0.152243728843	q2
N62	primary_W250000_EV007	T2	0.437114197531	0.291280864198	0.271604938272	0.145833333333	0.145833333333	q1
N62	primary_W250000_EV007	T3	0.44627202892	0.287121554451	0.266606416629	0.159150474469	0.159150474469	q1
Columbea	primary_W250000_EV015	T2	0.465900527506	0.269781461944	0.26431801055	0.196119065561	0.196119065561	q1
Columbea	primary_W250000_EV015	T3	0.477464047703	0.264293230445	0.258242721852	0.213170817257	0.213170817257	q1
N61	primary_W250000_EV015	T2	0.299194907321	0.428758659427	0.272046433252	-0.129563752106	-0.129563752106	q2
N61	primary_W250000_EV015	T3	0.293122984398	0.442168569685	0.264708445916	-0.149045585287	-0.149045585287	q2
N62	primary_W250000_EV015	T2	0.433573234779	0.292355572846	0.274071192375	0.141217661933	0.141217661933	q1
N62	primary_W250000_EV015	T3	0.444656142261	0.287606604972	0.267737252767	0.157049537289	0.157049537289	q1
Columbea	primary_W250000_EV008	T2	0.470192487386	0.267613530181	0.262193982433	0.202578957204	0.202578957204	q1
Columbea	primary_W250000_EV008	T3	0.479426924085	0.26330042806	0.257272647855	0.216126496025	0.216126496025	q1
N61	primary_W250000_EV008	T2	0.296433878158	0.433878157504	0.269687964339	-0.137444279346	-0.137444279346	q2
N61	primary_W250000_EV008	T3	0.291854810698	0.444511983328	0.263633205974	-0.152657172629	-0.152657172629	q2
N62	primary_W250000_EV008	T2	0.438078703704	0.289930555556	0.271990740741	0.148148148148	0.148148148148	q1
N62	primary_W250000_EV008	T3	0.446723904202	0.286488929056	0.266787166742	0.160234975147	0.160234975147	q1
Columbea	primary_W250000_EV009	T2	0.467843866171	0.268215613383	0.263940520446	0.199628252788	0.199628252788	q1
Columbea	primary_W250000_EV009	T3	0.478302544441	0.263593586616	0.258103868944	0.214708957825	0.214708957825	q1
N61	primary_W250000_EV009	T2	0.29793128925	0.431289250092	0.270779460658	-0.133357960842	-0.133357960842	q2
N61	primary_W250000_EV009	T3	0.292568855015	0.443270396674	0.264160748311	-0.150701541659	-0.150701541659	q2
N62	primary_W250000_EV009	T2	0.435149654643	0.292785878741	0.272064466616	0.142363775902	0.142363775902	q1
N62	primary_W250000_EV009	T3	0.445325881186	0.28783917786	0.266834940954	0.157486703326	0.157486703326	q1
Columbea	primary_W250000_EV010	T2	0.464578672632	0.271066368382	0.264354958986	0.193512304251	0.193512304251	q1
Columbea	primary_W250000_EV010	T3	0.476788830716	0.264921465969	0.258289703316	0.211867364747	0.211867364747	q1
N61	primary_W250000_EV010	T2	0.299610894942	0.427644987956	0.272744117102	-0.128034093015	-0.128034093015	q2
N61	primary_W250000_EV010	T3	0.29334721138	0.44158209732	0.2650706913	-0.14823488594	-0.14823488594	q2
N62	primary_W250000_EV010	T2	0.431678214011	0.293879907621	0.274441878368	0.13779830639	0.13779830639	q1
N62	primary_W250000_EV010	T3	0.443712196443	0.288345219825	0.267942583732	0.155366976618	0.155366976618	q1
Columbea	primary_W250000_EV016	T2	0.463387157341	0.270747277507	0.265865565152	0.192639879835	0.192639879835	q1
Columbea	primary_W250000_EV016	T3	0.476273857468	0.264752232534	0.258973909998	0.211521624934	0.211521624934	q1
N61	primary_W250000_EV016	T2	0.3	0.427425373134	0.272574626866	-0.127425373134	-0.127425373134	q2
N61	primary_W250000_EV016	T3	0.293508527671	0.44152453881	0.264966933519	-0.148016011138	-0.148016011138	q2
N62	primary_W250000_EV016	T2	0.431809376211	0.294072065091	0.274118558698	0.13773731112	0.13773731112	q1
N62	primary_W250000_EV016	T3	0.443810558725	0.288418002354	0.267771438921	0.155392556371	0.155392556371	q1
