structural_interval_id	state	species_members	n_species
SI_Stork_01	A0	Stork,Dove,Sandgrouse,Turaco	4
SI_Stork_01	A1	Flamingo	1
SI_Stork_01	A2	Cuckoo	1
SI_Stork_02	A0	Stork,Dove,Sandgrouse,Turaco	4
SI_Stork_02	A1	Flamingo,Cuckoo	2
SI_Stork_03	A0	Stork,Sandgrouse,Turaco	3
SI_Stork_03	A1	Flamingo	1
SI_Stork_03	A2	Dove	1
SI_Stork_03	A3	Cuckoo	1
SI_Stork_04	A0	Stork	1
SI_Stork_04	A1	Flamingo	1
SI_Stork_04	A2	Dove	1
SI_Stork_04	A3	Sandgrouse	1
SI_Stork_04	A4	Turaco	1
SI_Stork_04	A5	Cuckoo	1
SI_Stork_05	A0	Stork	1
SI_Stork_05	A1	Flamingo	1
SI_Stork_05	A2	Dove,Turaco	2
SI_Stork_05	A3	Sandgrouse	1
SI_Stork_05	A4	Cuckoo	1
SI_Stork_06	A0	Stork,Dove,Turaco	3
SI_Stork_06	A1	Flamingo,Sandgrouse,Cuckoo	3
SI_Flamingo_01	A0	Stork,Dove,Sandgrouse,Turaco	4
SI_Flamingo_01	A1	Flamingo	1
SI_Flamingo_01	A2	Cuckoo	1
SI_Flamingo_02	A0	Stork,Dove,Sandgrouse,Turaco	4
SI_Flamingo_02	A1	Flamingo,Cuckoo	2
SI_Flamingo_03	A0	Stork,Sandgrouse,Turaco	3
SI_Flamingo_03	A1	Flamingo	1
SI_Flamingo_03	A2	Dove	1
SI_Flamingo_03	A3	Cuckoo	1
SI_Flamingo_04	A0	Stork	1
SI_Flamingo_04	A1	Flamingo	1
SI_Flamingo_04	A2	Dove	1
SI_Flamingo_04	A3	Sandgrouse	1
SI_Flamingo_04	A4	Turaco	1
SI_Flamingo_04	A5	Cuckoo	1
SI_Flamingo_05	A0	Stork,Dove,Turaco	3
SI_Flamingo_05	A1	Flamingo,Sandgrouse,Cuckoo	3
SI_Flamingo_06	A0	Stork,Flamingo,Sandgrouse,Turaco,Cuckoo	5
SI_Flamingo_06	A1	Dove	1
